rag_accuracy,rag_latency,rag_match,context_key,rag_context_key,prompt
0.8,0.01281892042607069,1,ServerlessLLM_summary,ServerlessLLM_summary,What workload characteristics make LLMs challenging for serverless inference?
0.8,0.0043425047770142555,0,extra-distributed-monitoring,ServerlessLLM_summary,How does the server runtime scale with the aggregation size in the proposed solution?
0.8,0.0040897950530052185,1,ServerlessLLM_summary,ServerlessLLM_summary,Why does ServerlessLLM avoid migrating KV caches during live migration?
0.8,0.004068996757268906,1,ServerlessLLM_summary,ServerlessLLM_summary,What fundamental advancement does ServerlessLLM represent for LLM deployment?
0.8,0.003989969380199909,1,aplomb-sigcomm12,aplomb-sigcomm12,What is APLOMB's main benefit for enterprises?
0.8,0.004104595631361008,1,aplomb-sigcomm12,aplomb-sigcomm12,What ratio of network devices are middleboxes compared to routers/switches?
0.8,0.0043321819975972176,1,cacheblend,cacheblend,What problem does CacheBlend address in RAG?
0.8,0.0044551510363817215,1,cacheblend,cacheblend,"How does CacheBlend enable reuse of cached KV chunks in non-prefix locations, and what are the broader implications for LLM serving in RAG scenarios?"
0.8,0.003962227143347263,1,cacheblend,cacheblend,Why is cross-attention important for RAG quality?
0.8,0.003986799158155918,1,click,click,How is user interaction with Click routers facilitated?
0.8,0.003975236788392067,0,aplomb-sigcomm12,click,What are APLOMB's three architectural components?
0.8,0.003980597481131554,1,click,click,Which networking standards does Click support beyond basic IP routing?
0.8,0.004240505397319794,1,extra-biology,extra-biology,How can abnormal DNA methylation patterns contribute to cancer?
0.8,0.0041352612897753716,1,extra-biology,extra-biology,How does epigenetic transgenerational inheritance differ from classical genetics?
0.8,0.004103470593690872,1,extra-biology,extra-biology,What does the integration of epigenetics and genetics provide for our understanding of biology?
0.8,0.004343847744166851,1,extra-distributed-monitoring,extra-distributed-monitoring,"What is edge ML, and why is it particularly suitable for fraud detection in mobile payments?"
0.8,0.004154017195105553,1,extra-oss-monitoring,extra-oss-monitoring,List the four main types of data drift discussed in the paper.
0.8,0.004315327852964401,1,extra-oss-monitoring,extra-oss-monitoring,What future research directions are suggested by the authors regarding drift detection methods?
0.8,0.004072776064276695,1,extra-oss-monitoring,extra-oss-monitoring,Which three open-source drift detection libraries are evaluated in the paper?
0.8,0.0039788465946912766,0,extra-distributed-monitoring,extra-oss-monitoring,What future improvements do the authors suggest for the framework?
0.8,0.013672541826963425,1,metron-nsdi18,metron-nsdi18,Which prior systems does Metron build upon according to the related work section?
0.8,0.004056405276060104,1,metron-nsdi18,metron-nsdi18,How does Metron handle routing and failover in case of failures?
0.8,0.004081803373992443,1,metron-nsdi18,metron-nsdi18,How does Metron's data plane architecture handle packet dispatching?
0.8,0.003976798616349697,0,osdi24-sun-biao,metron-nsdi18,What communication framework is used for KV cache transfers?
0.8,0.004004465416073799,0,click,metron-nsdi18,What advanced queueing technique provides fairness in bandwidth allocation?
0.8,0.004104710184037685,1,osdi24-sun-biao,osdi24-sun-biao,Where can the reproduction artifacts for Llumnix be found?
0.8,0.004339258186519146,1,osdi24-sun-biao,osdi24-sun-biao,What distinguishes Llumnix from prior systems like vLLM and Orca?
0.8,0.004108777269721031,0,vllm,osdi24-sun-biao,What are the two recovery mechanisms for preempted requests in vLLM?
0.8,0.004340979270637035,1,vllm,vllm,Which programming frameworks were used to implement vLLM?
0.8,0.004078913480043411,1,vllm,vllm,What OS concept inspired the design of vLLM's KV cache manager?
